Link,Descrição,Preço
https://www.login.com.br/notebooks/notebook-lenovo-ideapad-1-amd-ryzen-5-7520u-8gb-ram-ssd-256gb-15-6-hd-linux,"Notebook Lenovo IdeaPad 1 AMD Ryzen 5-7520U 8GB RAM SSD 256GB 15.6"" HD Linux","De: R$ 2.899,00
Por R$ 2.599,00

R$ 2.498,94 à vista com desconto
ou 8x de R$ 324,88 Sem juros"
https://www.login.com.br/notebooks/notebook-asus-vivobook-15-x1500ea-ej3668w-intel-core-i5-1135g7-2-4ghz-4gb-ram-256gb-ssd-windows-11-home,Notebook ASUS Vivobook 15 X1500EA-EJ3668W Intel Core i5 1135G7 2.4GHz 4Gb Ram 256Gb Ssd Windows 11 Home,"R$ 2.899,00

R$ 2.754,05 à vista com desconto
ou 10x de R$ 289,90 Sem juros"
https://www.login.com.br/notebooks/notebook-hp-240-g8-intel-core-i3-1125g4-8gb-ram-256gb-ssd-14-windows-11-846t4la-ak4,"Notebook Hp 240 G8 Intel Core I3-1125G4 8GB Ram 256GB SSD 14"" Windows 11 846t4la#ak4","De: R$ 2.699,00
Por R$ 2.599,00

R$ 2.499,20 à vista com desconto
ou 8x de R$ 324,88 Sem juros"
https://www.login.com.br/notebooks/notebook-lenovo-ultrafino-ideapad-1-8gb-256gb-ssd-tela-15-6-windows-11-r5-7520u,"Notebook Lenovo Ultrafino IdeaPad 1 8GB 256GB SSD Tela 15.6"" Windows 11 R5-7520U","De: R$ 2.999,00
Por R$ 2.869,00

R$ 2.768,87 à vista com desconto
ou 8x de R$ 358,63 Sem juros"
https://www.login.com.br/notebooks/notebook-hp-256-g8-intel-core-i3-1115g4-8gb-ssd-256gb-15-6-windows-11-home-cinza,"Notebook HP 256 G8 Intel Core I3 1115g4 8gb SSD 256gb 15,6 Windows 11 Home Cinza","R$ 2.799,00

R$ 2.699,08 à vista com desconto
ou 8x de R$ 349,88 Sem juros"
https://www.login.com.br/notebooks/notebook-samsung-intel-core-i3-1115g4-4gb-ram-ssd-256gb-15-6-full-hd-windows-11-home-cinza-np550xda-kv3br,Notebook Samsung Intel Core i3-1115G4 4GB RAM SSD 256GB 15.6 Full HD Windows 11 Home Cinza NP550XDA-KV3BR,"De: R$ 2.599,00
Por R$ 2.499,00

R$ 2.399,04 à vista com desconto
ou 8x de R$ 312,38 Sem juros"
https://www.login.com.br/notebooks/notebook-lenovo-ideapad-3i-15itl-i3-1115g4-4gb-ssd-256gb-15-6-windows-11-82md000abr,"Notebook Lenovo Ideapad 3i 15ITL I3 1115G4 4GB SSD 256GB 15.6"" Windows 11 82md000abr","De: R$ 2.599,00
Por R$ 2.399,00

R$ 2.298,96 à vista com desconto
ou 8x de R$ 299,88 Sem juros"
https://www.login.com.br/notebooks/notebook-lenovo-ideapad-3i-i5-1135g7-intel-iris-xe-8gb-256gb-ssd-windows-11-15-6-fullhd-82md0007br,"Notebook Lenovo Ideapad 3i I5-1135G7 Intel Iris® Xe 8Gb 256Gb Ssd Windows 11 15.6"" FullHD 82md0007br","De: R$ 3.199,00
Por R$ 2.999,00

R$ 2.899,13 à vista com desconto
ou 8x de R$ 374,88 Sem juros"
https://www.login.com.br/notebooks/notebook-asus-intel-core-i3-1005g1-4gb-256gb-ssd-windows-11-15-6-cinza-x515ja-br2750w,"Notebook Asus Intel Core i3-1005G1 4GB 256GB SSD Windows 11 15,6"" Cinza X515JA-BR2750W","De: R$ 2.599,00
Por R$ 2.499,00

R$ 2.399,04 à vista com desconto
ou 8x de R$ 312,38 Sem juros"
https://www.login.com.br/notebooks/notebook-asus-amd-ryzen-7-8gb-ram-256gb-ssd-15-6-full-hd-windows-10-home-cinza-m515da-ej533t,"Notebook Asus AMD Ryzen 7 8GB RAM 256GB SSD 15.6"" Full HD Windows 10 Home Cinza M515DA-EJ533T","R$ 4.299,00

R$ 4.084,05 à vista com desconto
ou 10x de R$ 429,90 Sem juros"
https://www.login.com.br/notebooks/notebook-asus-amd-ryzen-5-3500u-8gb-256gb-ssd-15-6-led-windows-11-m515da-br1213w,"Notebook ASUS AMD Ryzen 5 3500U 8GB 256GB SSD 15,6"" LED Windows 11 M515DA-BR1213W","De: R$ 3.199,00
Por R$ 2.899,00

R$ 2.799,27 à vista com desconto
ou 8x de R$ 362,38 Sem juros"
https://www.login.com.br/notebook-asus-amd-ryzen-5-3500u-8gb-256gb-ssd-15-6-w10-cinza,"Notebook ASUS AMD Ryzen 5 3500U 8GB 256GB SSD 15.6"" W10 Cinza","R$ 3.399,00

R$ 3.229,05 à vista com desconto
ou 10x de R$ 339,90 Sem juros"
https://www.login.com.br/notebook-acer-ryzen-3-3250u-8gb-1tb-windows-10-15-6-preto-a315-23-r6dj,"Notebook Acer Aspire 3 Ryzen 3-3250U 8GB 1TB Windows 10 15.6"" Preto A315-23-R6DJ","R$ 2.299,00

R$ 2.184,05 à vista com desconto
ou 10x de R$ 229,90 Sem juros"
https://www.login.com.br/notebook-compaq-cq-17-14-i5-4gb-500gb16gb-optane-windows-10,"Notebook Compaq 14"" Intel Core i5 4GB 500GB+16GB Optane Windows 10 CQ-17","R$ 2.699,00

R$ 2.564,05 à vista com desconto
ou 10x de R$ 269,90 Sem juros"
https://www.login.com.br/notebooks/notebook-gamer-lenovo-ideapad-gaming-3i-i5-11300h-8gb-512gb-ssd-gtx1650-4gb-15-6-full-hd-windows-11-home-82mg0009br,Notebook Gamer Lenovo Ideapad Gaming 3i I5-11300H 8GB 512GB SSD GTX1650 4GB 15.6'' Full HD Windows 11 Home 82MG0009BR,"De: R$ 4.399,00
Por R$ 4.299,00

R$ 3.998,93 à vista com desconto
ou 8x de R$ 537,38 Sem juros"
https://www.login.com.br/notebooks/notebook-acer-aspire-3-ryzen-5-7520u-ram-8gb-lpddr5-ssd-256gb-15-6-hd-windows-11-home-cinza-a315-24p-r611,"Notebook Acer Aspire 3 Ryzen 5 7520u RAM 8GB Lpddr5 SSD 256GB 15.6"" HD Windows 11 Home Cinza A315-24p-r611","De: R$ 2.999,00
Por R$ 2.899,00

R$ 2.799,27 à vista com desconto
ou 8x de R$ 362,38 Sem juros"
https://www.login.com.br/notebooks/notebook-gamer-acer-nitro-5-intel-core-i5-8gb-gtx1650-ssd-512gb-tela-15-6-fhd-windows-11-an515-57-52lc,"Notebook Gamer Acer Nitro 5 Intel Core I5-11400H 8GB GTX1650 SSD 512GB Tela 15.6"" FHD Windows 11 An515-57-52lc","De: R$ 5.199,00
Por R$ 4.799,00

R$ 4.598,88 à vista com desconto
ou 8x de R$ 599,88 Sem juros"
https://www.login.com.br/notebooks/notebook-lenovo-ultrafino-ideapad-1-r3-73200u-8gb-256gb-ssd-windows-11-15-6-82x50000br-cinza,"Notebook Lenovo Ultrafino IdeaPad 1 Ryzen 3 73200U 8GB 256GB SSD Windows 11 15.6"" 82X50000BR Cinza","De: R$ 2.799,00
Por R$ 2.699,00

R$ 2.599,14 à vista com desconto
ou 8x de R$ 337,38 Sem juros"
https://www.login.com.br/notebooks/notebook-gamer-acer-nvidia-geforce-gtx-1650-core-i5-11400h-8gb-1tb-256gb-ssd-tela-full-hd-15-6-windows-11-nitro-5-an515-57-579b,Notebook Gamer Acer NVIDIA GeForce GTX 1650 Core i5-11400H 8GB 1TB 256GB SSD Tela Full HD 15.6 Windows 11 Nitro 5 AN515-57-579B,"R$ 4.699,00

R$ 4.464,05 à vista com desconto
ou 10x de R$ 469,90 Sem juros"
https://www.login.com.br/notebooks/notebook-login-intel-core-i5-8259u-3-8ghz-ram-8gb-ssd-480gb-15-6-windows-11-home,"Notebook Login Intel Core i5 8259U 3.8GHz Ram 8Gb SSD 480Gb 15,6"" Windows 11 Home","De: R$ 3.567,00
Por R$ 3.549,00

R$ 3.371,55 à vista com desconto
ou 10x de R$ 354,90 Sem juros"
https://www.login.com.br/notebooks/notebook-login-intel-core-i5-8259u-3-8ghz-ram-8gb-ssd-256gb-15-6-liinux,"Notebook Login Intel Core i5 8259U 3.8GHz Ram 8Gb SSD 256Gb 15,6"" Liinux","De: R$ 3.066,00
Por R$ 2.789,00

R$ 2.649,55 à vista com desconto
ou 10x de R$ 278,90 Sem juros"
https://www.login.com.br/notebooks/notebook-login-intel-core-i3-5005u-2-0-ghz-ram-8gb-ssd-512gb-15-6-linux,"Notebook Login Intel Core i3 5005U 2.0 GHz Ram 8Gb SSD 512Gb 15,6"" Linux","De: R$ 2.456,00
Por R$ 2.209,00

R$ 2.098,55 à vista com desconto
ou 10x de R$ 220,90 Sem juros"
https://www.login.com.br/notebooks/notebook-login-intel-core-i3-5005u-2-0-ghz-ram-8gb-ssd-256gb-15-6-linux,"Notebook Login Intel Core i3 5005U 2.0 GHz Ram 8Gb SSD 256Gb 15,6"" Linux","De: R$ 2.424,00
Por R$ 2.119,00

R$ 2.013,05 à vista com desconto
ou 10x de R$ 211,90 Sem juros"
https://www.login.com.br/notebooks/notebook-login-intel-celeron-n4020-dual-core-max-2-8-ghz-ssd-128gb-4gb-ram-ddr4-windows-11-cinza,Notebook Login Intel Celeron N4020 Dual Core (Max. 2.8 GHz) SSD 128GB 4GB RAM DDR4 Windows 11 Cinza,"De: R$ 1.699,00
Por R$ 1.479,00

R$ 1.259,07 à vista com desconto
ou 10x de R$ 147,90 Sem juros"
https://www.login.com.br/notebooks/notebook-acer-aspire-5-intel-core-i3-1115g4-ram-4gb-sdd-256gb-14-full-hd-windows-11-home-a514-54-385s,"Notebook Acer Aspire 5 Intel Core I3 1115G4 RAM 4GB SDD 256GB 14"" Full HD Windows 11 Home A514-54-385S","R$ 2.399,00

R$ 2.279,05 à vista com desconto
ou 10x de R$ 239,90 Sem juros"
https://www.login.com.br/notebooks/notebook-acer-aspire-5-amd-ryzen-7-5700u-8gb-ssd-512gb-15-6-full-hd-windows-11-a515-45g-r46x,"Notebook Acer Aspire 5 AMD Ryzen 7-5700u 8GB SSD 512GB 15.6"" Full HD Windows 11 A515-45G-R46X","De: R$ 4.299,00
Por R$ 4.099,00

R$ 3.898,97 à vista com desconto
ou 8x de R$ 512,38 Sem juros"
https://www.login.com.br/notebooks/notebook-acer-aspire-3-amd-ryzen-3-7320u-8gb-ssd-512gb-tela-15-6-hd-windows-11-home-a315-24p-r06b,Notebook Acer Aspire 3 AMD Ryzen 3 7320U 8GB SSD 512GB Tela 15.6 HD Windows 11 Home A315-24P-R06B,"De: R$ 2.899,00
Por R$ 2.599,00

R$ 2.498,94 à vista com desconto
ou 8x de R$ 324,88 Sem juros"
https://www.login.com.br/notebooks/notebook-lenovo-ideapad-1i-celeron-microsoft-365-personal-4gb-128gb-ssd-windows-11-home-15-6-82vx0001br-prata,"Notebook Lenovo Ideapad 1i Celeron + Microsoft 365 Personal 4GB 128GB SSD Windows 11 Home 15.6"" 82vx0001br Prata","De: R$ 1.949,00
Por R$ 1.849,00

R$ 1.778,92 à vista com desconto
ou 8x de R$ 231,13 Sem juros"
https://www.login.com.br/notebooks/notebook-lenovo-ideapad-3i-intel-core-i3-1115g4-8gb-256gb-ssd-15-windows-11-82md0010br,"Notebook Lenovo Ideapad 3i Intel Core I3-1115g4 8Gb 256Gb Ssd 15"" Windows 11 82MD0010BR","De: R$ 2.799,00
Por R$ 2.699,00

R$ 2.499,00 à vista com desconto
ou 8x de R$ 337,38 Sem juros"
https://www.login.com.br/notebooks/notebook-lenovo-ideapad-1-amd-ryzen-5-7520u-8gb-ram-ssd-256gb-15-6-hd-linux,"Notebook Lenovo IdeaPad 1 AMD Ryzen 5-7520U 8GB RAM SSD 256GB 15.6"" HD Linux","De: R$ 2.899,00
Por R$ 2.599,00

R$ 2.498,94 à vista com desconto
ou 8x de R$ 324,88 Sem juros"
https://www.login.com.br/notebooks/notebook-asus-vivobook-15-x1500ea-ej3668w-intel-core-i5-1135g7-2-4ghz-4gb-ram-256gb-ssd-windows-11-home,Notebook ASUS Vivobook 15 X1500EA-EJ3668W Intel Core i5 1135G7 2.4GHz 4Gb Ram 256Gb Ssd Windows 11 Home,"R$ 2.899,00

R$ 2.754,05 à vista com desconto
ou 10x de R$ 289,90 Sem juros"
https://www.login.com.br/notebooks/notebook-hp-240-g8-intel-core-i3-1125g4-8gb-ram-256gb-ssd-14-windows-11-846t4la-ak4,"Notebook Hp 240 G8 Intel Core I3-1125G4 8GB Ram 256GB SSD 14"" Windows 11 846t4la#ak4","De: R$ 2.699,00
Por R$ 2.599,00

R$ 2.499,20 à vista com desconto
ou 8x de R$ 324,88 Sem juros"
https://www.login.com.br/notebooks/notebook-lenovo-ultrafino-ideapad-1-8gb-256gb-ssd-tela-15-6-windows-11-r5-7520u,"Notebook Lenovo Ultrafino IdeaPad 1 8GB 256GB SSD Tela 15.6"" Windows 11 R5-7520U","De: R$ 2.999,00
Por R$ 2.869,00

R$ 2.768,87 à vista com desconto
ou 8x de R$ 358,63 Sem juros"
https://www.login.com.br/notebooks/notebook-hp-256-g8-intel-core-i3-1115g4-8gb-ssd-256gb-15-6-windows-11-home-cinza,"Notebook HP 256 G8 Intel Core I3 1115g4 8gb SSD 256gb 15,6 Windows 11 Home Cinza","R$ 2.799,00

R$ 2.699,08 à vista com desconto
ou 8x de R$ 349,88 Sem juros"
https://www.login.com.br/notebooks/notebook-samsung-intel-core-i3-1115g4-4gb-ram-ssd-256gb-15-6-full-hd-windows-11-home-cinza-np550xda-kv3br,Notebook Samsung Intel Core i3-1115G4 4GB RAM SSD 256GB 15.6 Full HD Windows 11 Home Cinza NP550XDA-KV3BR,"De: R$ 2.599,00
Por R$ 2.499,00

R$ 2.399,04 à vista com desconto
ou 8x de R$ 312,38 Sem juros"
https://www.login.com.br/notebooks/notebook-lenovo-ideapad-3i-15itl-i3-1115g4-4gb-ssd-256gb-15-6-windows-11-82md000abr,"Notebook Lenovo Ideapad 3i 15ITL I3 1115G4 4GB SSD 256GB 15.6"" Windows 11 82md000abr","De: R$ 2.599,00
Por R$ 2.399,00

R$ 2.298,96 à vista com desconto
ou 8x de R$ 299,88 Sem juros"
https://www.login.com.br/notebooks/notebook-lenovo-ideapad-3i-i5-1135g7-intel-iris-xe-8gb-256gb-ssd-windows-11-15-6-fullhd-82md0007br,"Notebook Lenovo Ideapad 3i I5-1135G7 Intel Iris® Xe 8Gb 256Gb Ssd Windows 11 15.6"" FullHD 82md0007br","De: R$ 3.199,00
Por R$ 2.999,00

R$ 2.899,13 à vista com desconto
ou 8x de R$ 374,88 Sem juros"
https://www.login.com.br/notebooks/notebook-asus-intel-core-i3-1005g1-4gb-256gb-ssd-windows-11-15-6-cinza-x515ja-br2750w,"Notebook Asus Intel Core i3-1005G1 4GB 256GB SSD Windows 11 15,6"" Cinza X515JA-BR2750W","De: R$ 2.599,00
Por R$ 2.499,00

R$ 2.399,04 à vista com desconto
ou 8x de R$ 312,38 Sem juros"
https://www.login.com.br/notebooks/notebook-asus-amd-ryzen-7-8gb-ram-256gb-ssd-15-6-full-hd-windows-10-home-cinza-m515da-ej533t,"Notebook Asus AMD Ryzen 7 8GB RAM 256GB SSD 15.6"" Full HD Windows 10 Home Cinza M515DA-EJ533T","R$ 4.299,00

R$ 4.084,05 à vista com desconto
ou 10x de R$ 429,90 Sem juros"
https://www.login.com.br/notebooks/notebook-asus-amd-ryzen-5-3500u-8gb-256gb-ssd-15-6-led-windows-11-m515da-br1213w,"Notebook ASUS AMD Ryzen 5 3500U 8GB 256GB SSD 15,6"" LED Windows 11 M515DA-BR1213W","De: R$ 3.199,00
Por R$ 2.899,00

R$ 2.799,27 à vista com desconto
ou 8x de R$ 362,38 Sem juros"
https://www.login.com.br/notebook-asus-amd-ryzen-5-3500u-8gb-256gb-ssd-15-6-w10-cinza,"Notebook ASUS AMD Ryzen 5 3500U 8GB 256GB SSD 15.6"" W10 Cinza","R$ 3.399,00

R$ 3.229,05 à vista com desconto
ou 10x de R$ 339,90 Sem juros"
https://www.login.com.br/notebook-acer-ryzen-3-3250u-8gb-1tb-windows-10-15-6-preto-a315-23-r6dj,"Notebook Acer Aspire 3 Ryzen 3-3250U 8GB 1TB Windows 10 15.6"" Preto A315-23-R6DJ","R$ 2.299,00

R$ 2.184,05 à vista com desconto
ou 10x de R$ 229,90 Sem juros"
https://www.login.com.br/notebook-compaq-cq-17-14-i5-4gb-500gb16gb-optane-windows-10,"Notebook Compaq 14"" Intel Core i5 4GB 500GB+16GB Optane Windows 10 CQ-17","R$ 2.699,00

R$ 2.564,05 à vista com desconto
ou 10x de R$ 269,90 Sem juros"
https://www.login.com.br/notebooks/notebook-gamer-lenovo-ideapad-gaming-3i-i5-11300h-8gb-512gb-ssd-gtx1650-4gb-15-6-full-hd-windows-11-home-82mg0009br,Notebook Gamer Lenovo Ideapad Gaming 3i I5-11300H 8GB 512GB SSD GTX1650 4GB 15.6'' Full HD Windows 11 Home 82MG0009BR,"De: R$ 4.399,00
Por R$ 4.299,00

R$ 3.998,93 à vista com desconto
ou 8x de R$ 537,38 Sem juros"
https://www.login.com.br/notebooks/notebook-acer-aspire-3-ryzen-5-7520u-ram-8gb-lpddr5-ssd-256gb-15-6-hd-windows-11-home-cinza-a315-24p-r611,"Notebook Acer Aspire 3 Ryzen 5 7520u RAM 8GB Lpddr5 SSD 256GB 15.6"" HD Windows 11 Home Cinza A315-24p-r611","De: R$ 2.999,00
Por R$ 2.899,00

R$ 2.799,27 à vista com desconto
ou 8x de R$ 362,38 Sem juros"
https://www.login.com.br/notebooks/notebook-gamer-acer-nitro-5-intel-core-i5-8gb-gtx1650-ssd-512gb-tela-15-6-fhd-windows-11-an515-57-52lc,"Notebook Gamer Acer Nitro 5 Intel Core I5-11400H 8GB GTX1650 SSD 512GB Tela 15.6"" FHD Windows 11 An515-57-52lc","De: R$ 5.199,00
Por R$ 4.799,00

R$ 4.598,88 à vista com desconto
ou 8x de R$ 599,88 Sem juros"
https://www.login.com.br/notebooks/notebook-lenovo-ultrafino-ideapad-1-r3-73200u-8gb-256gb-ssd-windows-11-15-6-82x50000br-cinza,"Notebook Lenovo Ultrafino IdeaPad 1 Ryzen 3 73200U 8GB 256GB SSD Windows 11 15.6"" 82X50000BR Cinza","De: R$ 2.799,00
Por R$ 2.699,00

R$ 2.599,14 à vista com desconto
ou 8x de R$ 337,38 Sem juros"
https://www.login.com.br/notebooks/notebook-gamer-acer-nvidia-geforce-gtx-1650-core-i5-11400h-8gb-1tb-256gb-ssd-tela-full-hd-15-6-windows-11-nitro-5-an515-57-579b,Notebook Gamer Acer NVIDIA GeForce GTX 1650 Core i5-11400H 8GB 1TB 256GB SSD Tela Full HD 15.6 Windows 11 Nitro 5 AN515-57-579B,"R$ 4.699,00

R$ 4.464,05 à vista com desconto
ou 10x de R$ 469,90 Sem juros"
https://www.login.com.br/notebooks/notebook-login-intel-core-i5-8259u-3-8ghz-ram-8gb-ssd-480gb-15-6-windows-11-home,"Notebook Login Intel Core i5 8259U 3.8GHz Ram 8Gb SSD 480Gb 15,6"" Windows 11 Home","De: R$ 3.567,00
Por R$ 3.549,00

R$ 3.371,55 à vista com desconto
ou 10x de R$ 354,90 Sem juros"
https://www.login.com.br/notebooks/notebook-login-intel-core-i5-8259u-3-8ghz-ram-8gb-ssd-256gb-15-6-liinux,"Notebook Login Intel Core i5 8259U 3.8GHz Ram 8Gb SSD 256Gb 15,6"" Liinux","De: R$ 3.066,00
Por R$ 2.789,00

R$ 2.649,55 à vista com desconto
ou 10x de R$ 278,90 Sem juros"
https://www.login.com.br/notebooks/notebook-login-intel-core-i3-5005u-2-0-ghz-ram-8gb-ssd-512gb-15-6-linux,"Notebook Login Intel Core i3 5005U 2.0 GHz Ram 8Gb SSD 512Gb 15,6"" Linux","De: R$ 2.456,00
Por R$ 2.209,00

R$ 2.098,55 à vista com desconto
ou 10x de R$ 220,90 Sem juros"
https://www.login.com.br/notebooks/notebook-login-intel-core-i3-5005u-2-0-ghz-ram-8gb-ssd-256gb-15-6-linux,"Notebook Login Intel Core i3 5005U 2.0 GHz Ram 8Gb SSD 256Gb 15,6"" Linux","De: R$ 2.424,00
Por R$ 2.119,00

R$ 2.013,05 à vista com desconto
ou 10x de R$ 211,90 Sem juros"
https://www.login.com.br/notebooks/notebook-login-intel-celeron-n4020-dual-core-max-2-8-ghz-ssd-128gb-4gb-ram-ddr4-windows-11-cinza,Notebook Login Intel Celeron N4020 Dual Core (Max. 2.8 GHz) SSD 128GB 4GB RAM DDR4 Windows 11 Cinza,"De: R$ 1.699,00
Por R$ 1.479,00

R$ 1.259,07 à vista com desconto
ou 10x de R$ 147,90 Sem juros"
https://www.login.com.br/notebooks/notebook-acer-aspire-5-intel-core-i3-1115g4-ram-4gb-sdd-256gb-14-full-hd-windows-11-home-a514-54-385s,"Notebook Acer Aspire 5 Intel Core I3 1115G4 RAM 4GB SDD 256GB 14"" Full HD Windows 11 Home A514-54-385S","R$ 2.399,00

R$ 2.279,05 à vista com desconto
ou 10x de R$ 239,90 Sem juros"
https://www.login.com.br/notebooks/notebook-acer-aspire-5-amd-ryzen-7-5700u-8gb-ssd-512gb-15-6-full-hd-windows-11-a515-45g-r46x,"Notebook Acer Aspire 5 AMD Ryzen 7-5700u 8GB SSD 512GB 15.6"" Full HD Windows 11 A515-45G-R46X","De: R$ 4.299,00
Por R$ 4.099,00

R$ 3.898,97 à vista com desconto
ou 8x de R$ 512,38 Sem juros"
